0.9093023255813953
class4,p
nonevent,0.012953410992205592
Ia,0.9620433206571878
nonevent,0.0001289724147367872
Ib,0.999511014513194
II,0.6381105719234065
Ia,0.9971241815802421
nonevent,0.33210090615066323
II,0.9893902710744809
II,0.7905422613518729
II,0.9208170229455873
II,0.9796577626976287
II,0.9848709244657593
Ib,0.996132606917066
II,0.9813968685003888
II,0.9990362897950963
Ib,0.9997196118876348
II,0.9934331779490175
nonevent,0.003777349990190243
nonevent,7.404907835759238e-05
II,0.9819711091651379
II,0.9880642981365879
II,0.9965642292861006
II,0.8665609343612093
II,0.9589024564953127
Ib,0.9665997632012431
Ib,0.9974044416649143
nonevent,0.5144109610203396
nonevent,0.07877139479678621
II,0.6994390949953284
nonevent,0.044086501795676906
II,0.9947916752879582
II,0.9622833640691792
nonevent,2.839016433749984e-09
II,0.9999952790457619
nonevent,0.000831628069386602
nonevent,0.0049684954902070935
nonevent,0.35789984403005803
Ib,0.9866039941944125
nonevent,0.12439272609593424
nonevent,0.4918582322832422
II,0.577304202746955
II,0.6357084920363176
nonevent,0.41959308085975433
nonevent,4.850067704987965e-05
nonevent,0.44850137425729975
II,0.6688018374414013
Ib,0.6588859248919732
Ib,0.997218776193325
Ib,0.9964025738544658
II,0.9995338079952748
nonevent,0.00035849063645143376
nonevent,0.0008594424418002354
nonevent,0.0040556647383111575
nonevent,0.08794237244870691
nonevent,0.17530638105103755
nonevent,0.12432445140916533
II,0.8414357143828175
nonevent,0.28428785765335235
nonevent,0.009513859098722878
II,0.9659023205472403
II,0.9596388502986937
nonevent,0.0395337429782913
II,0.977686072223811
nonevent,0.0013622047291170325
nonevent,0.01591040429982042
Ib,0.9558484015199364
Ib,0.9275118296074722
Ib,0.9476848368774593
II,0.6179607574700321
nonevent,0.0011076679769888372
Ia,0.9943014325647843
nonevent,0.23700464520269765
Ib,0.9820657798322858
nonevent,0.3908332252643528
nonevent,0.015560399103394077
nonevent,0.19738077879413635
nonevent,0.05841725243632481
Ib,0.9973533724900912
nonevent,0.00032987293317922507
Ib,0.9916394005617603
Ib,0.988207065222679
nonevent,0.11375467256385717
nonevent,0.3656957005665322
II,0.9947267352762821
II,0.9878641946854905
II,0.9979483505925983
Ib,0.9995645773721398
II,0.9327991588146369
II,0.9941958621522226
nonevent,0.0024024643391139825
II,0.6703453215956638
nonevent,0.000935454758897574
II,0.964964307077953
nonevent,0.4845640127928824
nonevent,8.889600960731277e-05
Ib,0.9990510649818036
nonevent,0.028814470134068838
nonevent,0.3632487640098693
nonevent,0.044111805301416666
Ib,0.7624557092082838
nonevent,0.04161812383898185
nonevent,0.0005921890745103219
nonevent,0.0025235065539307155
II,0.9785909793259964
nonevent,0.26826113903752025
Ib,0.9986185151933755
Ib,0.9984982536524756
Ib,0.9979253990678809
nonevent,0.022771444721147085
II,0.9943744262299437
Ib,0.9998398139692009
II,0.9921307768369589
II,0.8871610598099914
Ib,0.9956698785604345
Ib,0.9976283618282349
nonevent,0.0037269679337062884
nonevent,0.013412669591589767
II,0.9945955698002752
nonevent,0.6229176738185063
nonevent,0.25730993628937726
II,0.9654123931176275
Ia,0.9995648246687538
Ib,0.992926949330214
Ib,0.7337962385049304
nonevent,7.418117063894144e-05
nonevent,0.04627731226621034
nonevent,0.004711386676578604
II,0.6340380907429061
nonevent,0.03840737199199156
Ia,0.9937707238759504
nonevent,0.038175150490455334
II,0.9815815047455109
nonevent,0.0024955106150185797
nonevent,0.0016673488963943074
nonevent,0.5015475012580379
nonevent,0.3078225279003096
nonevent,0.003302347552679696
Ib,0.920837657804209
Ib,0.9979272174281124
II,0.9963541695409015
Ia,0.9989834208582998
nonevent,0.026638414657580784
nonevent,3.562563786269065e-05
II,0.9055925995822196
Ib,0.9987740287741147
nonevent,0.10202896907412454
nonevent,0.12026644150935942
Ia,0.9998993867261147
nonevent,0.07658014392621003
Ib,0.9958001387872641
nonevent,0.025914539248371372
nonevent,0.0003184538157937983
nonevent,0.001692221236361935
Ia,0.9999426102386374
nonevent,9.212359402241887e-05
nonevent,0.0014365905028909534
II,0.7699311285158348
II,0.9480275314418887
nonevent,0.3379093627977453
nonevent,2.5136930292988807e-05
